Date,Volume BTC
2019-10-05 00:00:00,552.87
2019-10-06 00:00:00,295.8
2019-10-07 00:00:00,345.57
2019-10-08 00:00:00,968.24
2019-10-09 00:00:00,702.79
2019-10-10 00:00:00,1198.41
2019-10-11 00:00:00,753.31
2019-10-12 00:00:00,665.41
2019-10-13 00:00:00,154.96
2019-10-14 00:00:00,220.93
2019-10-15 00:00:00,521.32
2019-10-16 00:00:00,592.77
2019-10-17 00:00:00,619.25
2019-10-18 00:00:00,501.71
2019-10-19 00:00:00,577.98
2019-10-20 00:00:00,194.15
2019-10-21 00:00:00,262.05
2019-10-22 00:00:00,647.5
2019-10-23 00:00:00,647.31
2019-10-24 00:00:00,1327.92
2019-10-25 00:00:00,702.25
2019-10-26 00:00:00,2725.64
2019-10-27 00:00:00,915.39
2019-10-28 00:00:00,691.75
2019-10-29 00:00:00,1162.09
2019-10-30 00:00:00,1138.34
2019-10-31 00:00:00,802.49
2019-11-01 00:00:00,864.78
2019-11-02 00:00:00,640.36
2019-11-03 00:00:00,256.44
2019-11-04 00:00:00,153.49
2019-11-05 00:00:00,885.9
2019-11-06 00:00:00,658.47
2019-11-07 00:00:00,684.77
2019-11-08 00:00:00,612.32
2019-11-09 00:00:00,886.96
2019-11-10 00:00:00,234.38
2019-11-11 00:00:00,297.75
2019-11-12 00:00:00,614.72
2019-11-13 00:00:00,560.72
2019-11-14 00:00:00,549.8
2019-11-15 00:00:00,514.23
2019-11-16 00:00:00,323.57
2019-11-17 00:00:00,128.12
2019-11-18 00:00:00,124.13
2019-11-19 00:00:00,706.11
2019-11-20 00:00:00,601.25
2019-11-21 00:00:00,393.6
2019-11-22 00:00:00,1073.06
2019-11-23 00:00:00,1983.56
2019-11-24 00:00:00,297.4
2019-11-25 00:00:00,518.08
2019-11-26 00:00:00,1044.69
2019-11-27 00:00:00,689.59
2019-11-28 00:00:00,1080.73
2019-11-29 00:00:00,796.38
2019-11-30 00:00:00,730.19
2019-12-01 00:00:00,341.1
2019-12-02 00:00:00,200.9
2019-12-03 00:00:00,668.55
2019-12-04 00:00:00,664.79
2019-12-05 00:00:00,832.91
2019-12-06 00:00:00,559.69
2019-12-07 00:00:00,495.53
2019-12-08 00:00:00,174.31
2019-12-09 00:00:00,127.99
2019-12-10 00:00:00,774.13
2019-12-11 00:00:00,822.91
2019-12-12 00:00:00,567.04
2019-12-13 00:00:00,616.5
2019-12-14 00:00:00,711.1
2019-12-15 00:00:00,409.51
2019-12-16 00:00:00,159.68
2019-12-17 00:00:00,801.86
2019-12-18 00:00:00,878.1
2019-12-19 00:00:00,1361.66
2019-12-20 00:00:00,729.46
2019-12-21 00:00:00,700.97
2019-12-22 00:00:00,207.22
2019-12-23 00:00:00,527.99
2019-12-24 00:00:00,771.68
2019-12-25 00:00:00,731.07
2019-12-26 00:00:00,425.13
2019-12-27 00:00:00,585.52
2019-12-28 00:00:00,650.7
2019-12-29 00:00:00,132.37
2019-12-30 00:00:00,149.92
2019-12-31 00:00:00,618.51
2020-01-01 00:00:00,311.68
2020-01-02 00:00:00,63.71
2020-01-03 00:00:00,739.49
2020-01-04 00:00:00,791.57
2020-01-05 00:00:00,263.87
2020-01-06 00:00:00,239.75
2020-01-07 00:00:00,1134.57
